Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country,Shell_Cat
Russia,4907863.0,Offshore Transfer,2023-01-02 11:00:00,Person_8363,Luxury Goods,USA,True,Legal,7,9,Bank_285,Singapore,3 or more
China,4071726.0,Stocks Transfer,2023-01-02 12:00:00,Person_4599,Construction,USA,False,Illegal,4,6,Bank_390,Singapore,3 or more
Switzerland,3260777.0,Cryptocurrency,2023-01-02 13:00:00,Person_3680,Real Estate,Singapore,False,Legal,4,6,Bank_343,Luxembourg,3 or more
USA,45712.0,Offshore Transfer,2023-01-02 14:00:00,Person_4804,Oil & Gas,USA,False,Illegal,1,8,Bank_118,Bahamas,3 or more
UK,576322.0,Cryptocurrency,2023-01-02 15:00:00,Person_8600,Luxury Goods,China,False,Illegal,2,5,Bank_2,Cayman Islands,3 or more
South Africa,2854183.0,Cash Withdrawal,2023-01-02 16:00:00,Person_6246,Construction,China,False,Illegal,5,7,Bank_296,Switzerland,3 or more
India,3746204.0,Cash Withdrawal,2023-01-02 17:00:00,Person_2936,Arms Trade,China,False,Illegal,7,2,Bank_433,Singapore,Less than 3
UK,292202.0,Cash Withdrawal,2023-01-02 18:00:00,Person_4033,Real Estate,UK,False,Illegal,10,1,Bank_45,Switzerland,Less than 3
UAE,2264995.0,Property Purchase,2023-01-02 19:00:00,Person_2537,Casinos,Singapore,False,Illegal,5,0,Bank_247,Cayman Islands,Less than 3
Russia,4688572.0,Cash Withdrawal,2023-01-02 20:00:00,Person_943,Finance,China,False,Legal,9,6,Bank_190,Cayman Islands,3 or more
Switzerland,587177.0,Stocks Transfer,2023-01-02 21:00:00,Person_479,Real Estate,China,False,Legal,6,3,Bank_76,Bahamas,3 or more
China,1724209.0,Property Purchase,2023-01-02 22:00:00,Person_21,Luxury Goods,South Africa,False,Illegal,7,9,Bank_466,Luxembourg,3 or more
Singapore,84888.0,Property Purchase,2023-01-02 23:00:00,Person_7362,Finance,South Africa,False,Legal,3,2,Bank_191,Luxembourg,Less than 3
UAE,270522.0,Cash Withdrawal,2023-01-03 00:00:00,Person_4829,Construction,China,False,Legal,1,0,Bank_71,Switzerland,Less than 3
Russia,1473322.0,Cash Withdrawal,2023-01-03 01:00:00,Person_2327,Oil & Gas,South Africa,False,Illegal,8,1,Bank_287,Bahamas,Less than 3
South Africa,799057.0,Property Purchase,2023-01-03 02:00:00,Person_9899,Real Estate,China,False,Illegal,4,9,Bank_72,Singapore,3 or more
Switzerland,964720.0,Offshore Transfer,2023-01-03 03:00:00,Person_298,Construction,China,False,Legal,10,2,Bank_42,Cayman Islands,Less than 3
Brazil,917555.0,Stocks Transfer,2023-01-03 04:00:00,Person_3863,Construction,India,False,Illegal,1,2,Bank_49,Switzerland,Less than 3
South Africa,1980947.0,Cash Withdrawal,2023-01-03 05:00:00,Person_9641,Arms Trade,Brazil,False,Illegal,9,5,Bank_18,Singapore,3 or more
China,3432917.0,Cryptocurrency,2023-01-03 06:00:00,Person_892,Casinos,China,False,Illegal,9,7,Bank_174,Panama,3 or more
Brazil,4295547.0,Cash Withdrawal,2023-01-03 07:00:00,Person_8609,Oil & Gas,Singapore,False,Legal,9,0,Bank_340,Singapore,Less than 3
USA,1351397.0,Cryptocurrency,2023-01-03 08:00:00,Person_592,Casinos,China,True,Legal,8,9,Bank_63,Cayman Islands,3 or more
Russia,65964.0,Property Purchase,2023-01-03 09:00:00,Person_1172,Luxury Goods,Singapore,True,Legal,10,6,Bank_3,Bahamas,3 or more
Brazil,813474.0,Property Purchase,2023-01-03 10:00:00,Person_3900,Oil & Gas,UK,False,Legal,4,0,Bank_187,Bahamas,Less than 3
South Africa,3970618.0,Offshore Transfer,2023-01-03 11:00:00,Person_1992,Arms Trade,Russia,False,Illegal,1,2,Bank_110,Bahamas,Less than 3
USA,1581521.0,Property Purchase,2023-01-03 12:00:00,Person_5231,Oil & Gas,Russia,True,Legal,4,6,Bank_479,Cayman Islands,3 or more
USA,1164391.0,Cryptocurrency,2023-01-03 13:00:00,Person_9220,Luxury Goods,UAE,False,Illegal,7,9,Bank_418,Singapore,3 or more
USA,2177304.0,Stocks Transfer,2023-01-03 14:00:00,Person_6310,Real Estate,Russia,False,Illegal,10,9,Bank_146,Bahamas,3 or more
South Africa,2524959.0,Cash Withdrawal,2023-01-03 15:00:00,Person_7570,Casinos,USA,False,Illegal,3,5,Bank_337,Cayman Islands,3 or more
Singapore,2311265.0,Property Purchase,2023-01-03 16:00:00,Person_6019,Arms Trade,Russia,False,Legal,5,4,Bank_154,Bahamas,3 or more
USA,4033120.0,Cash Withdrawal,2023-01-03 17:00:00,Person_9886,Finance,UK,False,Illegal,2,3,Bank_296,Panama,3 or more
USA,1904412.0,Offshore Transfer,2023-01-03 18:00:00,Person_9544,Arms Trade,India,False,Illegal,7,0,Bank_187,Bahamas,Less than 3
Brazil,2075346.0,Property Purchase,2023-01-03 19:00:00,Person_1710,Real Estate,South Africa,False,Illegal,7,4,Bank_18,Switzerland,3 or more
Russia,2952315.0,Offshore Transfer,2023-01-03 20:00:00,Person_9460,Oil & Gas,Russia,False,Illegal,4,7,Bank_491,Bahamas,3 or more
Brazil,2053475.0,Cryptocurrency,2023-01-03 21:00:00,Person_5888,Luxury Goods,Switzerland,True,Illegal,9,1,Bank_424,Singapore,Less than 3
Switzerland,159132.0,Cash Withdrawal,2023-01-03 22:00:00,Person_7747,Finance,South Africa,False,Illegal,1,9,Bank_146,Cayman Islands,3 or more
Russia,4717525.0,Offshore Transfer,2023-01-03 23:00:00,Person_4245,Construction,Singapore,True,Legal,3,1,Bank_268,Bahamas,Less than 3
South Africa,1070755.0,Cryptocurrency,2023-01-04 00:00:00,Person_3517,Oil & Gas,India,False,Legal,7,6,Bank_362,Bahamas,3 or more
South Africa,4342358.0,Property Purchase,2023-01-04 01:00:00,Person_3557,Arms Trade,Russia,False,Illegal,3,6,Bank_15,Panama,3 or more
China,3372288.0,Cash Withdrawal,2023-01-04 02:00:00,Person_9513,Finance,Brazil,True,Legal,1,3,Bank_157,Switzerland,3 or more
UK,3458156.0,Stocks Transfer,2023-01-04 03:00:00,Person_2872,Finance,Brazil,False,Legal,4,1,Bank_15,Cayman Islands,Less than 3
Switzerland,1511362.0,Offshore Transfer,2023-01-04 04:00:00,Person_5913,Finance,India,False,Illegal,5,1,Bank_328,Panama,Less than 3
Brazil,683434.0,Property Purchase,2023-01-04 05:00:00,Person_981,Finance,South Africa,False,Illegal,5,5,Bank_368,Switzerland,3 or more
Switzerland,2794778.0,Cash Withdrawal,2023-01-04 06:00:00,Person_7103,Finance,India,False,Illegal,6,8,Bank_137,Bahamas,3 or more
India,2442766.0,Offshore Transfer,2023-01-04 07:00:00,Person_5722,Real Estate,UAE,False,Illegal,9,3,Bank_432,Cayman Islands,3 or more
UAE,4982819.0,Cryptocurrency,2023-01-04 08:00:00,Person_4157,Oil & Gas,UAE,False,Illegal,9,7,Bank_237,Singapore,3 or more
UAE,235725.0,Stocks Transfer,2023-01-04 09:00:00,Person_9236,Construction,UK,False,Legal,7,2,Bank_226,Luxembourg,Less than 3
UK,4909233.0,Property Purchase,2023-01-04 10:00:00,Person_508,Oil & Gas,Brazil,False,Illegal,6,0,Bank_180,Switzerland,Less than 3
USA,241596.0,Cash Withdrawal,2023-01-04 11:00:00,Person_2786,Finance,Switzerland,False,Illegal,8,4,Bank_198,Singapore,3 or more
Brazil,1585311.0,Stocks Transfer,2023-01-04 12:00:00,Person_8997,Arms Trade,UK,False,Illegal,1,6,Bank_320,Luxembourg,3 or more
Brazil,3788729.0,Offshore Transfer,2023-01-04 13:00:00,Person_69,Casinos,Switzerland,False,Legal,9,6,Bank_462,Panama,3 or more
Switzerland,3558411.0,Offshore Transfer,2023-01-04 14:00:00,Person_7486,Casinos,UK,False,Illegal,10,1,Bank_183,Cayman Islands,Less than 3
South Africa,3808338.0,Stocks Transfer,2023-01-04 15:00:00,Person_4296,Oil & Gas,Brazil,False,Illegal,9,6,Bank_404,Singapore,3 or more
India,2599744.0,Stocks Transfer,2023-01-04 16:00:00,Person_2439,Luxury Goods,Russia,False,Legal,2,1,Bank_380,Singapore,Less than 3
USA,2801903.0,Property Purchase,2023-01-04 17:00:00,Person_173,Construction,USA,False,Illegal,6,7,Bank_195,Bahamas,3 or more
India,626583.0,Property Purchase,2023-01-04 18:00:00,Person_2660,Casinos,Singapore,False,Legal,7,9,Bank_43,Panama,3 or more
Russia,4173901.0,Cryptocurrency,2023-01-04 19:00:00,Person_9354,Luxury Goods,Switzerland,False,Illegal,9,0,Bank_87,Luxembourg,Less than 3
India,2636849.0,Offshore Transfer,2023-01-04 20:00:00,Person_7169,Finance,UAE,True,Illegal,3,9,Bank_262,Cayman Islands,3 or more
Brazil,2585900.0,Cryptocurrency,2023-01-04 21:00:00,Person_9009,Oil & Gas,India,False,Illegal,10,8,Bank_283,Switzerland,3 or more
Russia,305380.0,Offshore Transfer,2023-01-04 22:00:00,Person_9788,Oil & Gas,Russia,False,Legal,3,2,Bank_352,Luxembourg,Less than 3
USA,1890855.0,Cash Withdrawal,2023-01-04 23:00:00,Person_5611,Real Estate,Switzerland,False,Illegal,6,5,Bank_272,Panama,3 or more
Russia,2212451.0,Cryptocurrency,2023-01-05 00:00:00,Person_4479,Luxury Goods,Switzerland,False,Illegal,10,0,Bank_395,Cayman Islands,Less than 3
Switzerland,2647815.0,Stocks Transfer,2023-01-05 01:00:00,Person_4435,Construction,India,False,Legal,4,3,Bank_439,Switzerland,3 or more
China,3892984.0,Offshore Transfer,2023-01-05 02:00:00,Person_3189,Finance,India,True,Illegal,4,3,Bank_493,Cayman Islands,3 or more
India,1160840.0,Cryptocurrency,2023-01-05 03:00:00,Person_2291,Finance,India,False,Illegal,6,7,Bank_288,Switzerland,3 or more
Russia,3987348.0,Stocks Transfer,2023-01-05 04:00:00,Person_2910,Arms Trade,South Africa,False,Illegal,8,7,Bank_339,Luxembourg,3 or more
UK,3530304.0,Offshore Transfer,2023-01-05 05:00:00,Person_4769,Luxury Goods,USA,False,Legal,2,9,Bank_24,Switzerland,3 or more
India,3736810.0,Cash Withdrawal,2023-01-05 06:00:00,Person_4542,Arms Trade,UAE,False,Illegal,5,1,Bank_285,Switzerland,Less than 3
China,2217804.0,Cash Withdrawal,2023-01-05 07:00:00,Person_3226,Casinos,India,False,Illegal,8,1,Bank_378,Bahamas,Less than 3
Russia,316641.0,Cash Withdrawal,2023-01-05 08:00:00,Person_4798,Construction,India,False,Illegal,8,3,Bank_120,Luxembourg,3 or more
Russia,979849.0,Stocks Transfer,2023-01-05 09:00:00,Person_4977,Oil & Gas,Russia,True,Illegal,8,9,Bank_35,Switzerland,3 or more
China,4335717.0,Cryptocurrency,2023-01-05 10:00:00,Person_9717,Casinos,South Africa,True,Illegal,6,2,Bank_411,Panama,Less than 3
China,3944972.0,Offshore Transfer,2023-01-05 11:00:00,Person_5533,Construction,UK,False,Legal,8,9,Bank_165,Panama,3 or more
South Africa,869589.0,Stocks Transfer,2023-01-05 12:00:00,Person_661,Luxury Goods,USA,False,Illegal,6,5,Bank_138,Panama,3 or more
Brazil,4904774.0,Property Purchase,2023-01-05 13:00:00,Person_4795,Real Estate,South Africa,True,Illegal,7,9,Bank_160,Luxembourg,3 or more
China,2888191.0,Stocks Transfer,2023-01-05 14:00:00,Person_3072,Arms Trade,Russia,False,Legal,6,8,Bank_490,Luxembourg,3 or more
UAE,3599503.0,Offshore Transfer,2023-01-05 15:00:00,Person_2911,Construction,Singapore,True,Legal,2,9,Bank_60,Luxembourg,3 or more
Brazil,2488024.0,Offshore Transfer,2023-01-05 16:00:00,Person_2000,Construction,Switzerland,False,Illegal,10,1,Bank_409,Switzerland,Less than 3
Switzerland,4546034.0,Property Purchase,2023-01-05 17:00:00,Person_4923,Arms Trade,India,False,Illegal,10,8,Bank_401,Luxembourg,3 or more
South Africa,511747.0,Property Purchase,2023-01-05 18:00:00,Person_6663,Construction,South Africa,False,Illegal,5,5,Bank_173,Luxembourg,3 or more
India,4706997.0,Cash Withdrawal,2023-01-05 19:00:00,Person_1230,Finance,UK,True,Legal,9,8,Bank_264,Switzerland,3 or more
China,4408359.0,Offshore Transfer,2023-01-05 20:00:00,Person_5656,Finance,USA,False,Illegal,8,2,Bank_213,Singapore,Less than 3
Singapore,640092.0,Offshore Transfer,2023-01-05 21:00:00,Person_9769,Real Estate,USA,False,Legal,2,1,Bank_422,Bahamas,Less than 3
Switzerland,2173854.0,Stocks Transfer,2023-01-05 22:00:00,Person_5905,Arms Trade,Brazil,False,Illegal,5,6,Bank_258,Bahamas,3 or more
China,1701022.0,Cryptocurrency,2023-01-05 23:00:00,Person_8383,Real Estate,USA,False,Legal,1,6,Bank_356,Singapore,3 or more
Switzerland,2938291.0,Property Purchase,2023-01-06 00:00:00,Person_1145,Finance,Switzerland,False,Illegal,8,3,Bank_467,Luxembourg,3 or more
UAE,89483.0,Cash Withdrawal,2023-01-06 01:00:00,Person_5295,Luxury Goods,UK,False,Illegal,10,4,Bank_100,Switzerland,3 or more
USA,3002500.0,Property Purchase,2023-01-06 02:00:00,Person_7378,Real Estate,USA,True,Illegal,1,7,Bank_459,Singapore,3 or more
UAE,2837647.0,Stocks Transfer,2023-01-06 03:00:00,Person_7432,Construction,India,False,Illegal,4,9,Bank_216,Switzerland,3 or more
USA,3336076.0,Property Purchase,2023-01-06 04:00:00,Person_8881,Finance,India,False,Legal,7,0,Bank_80,Bahamas,Less than 3
UK,2180249.0,Stocks Transfer,2023-01-06 05:00:00,Person_8385,Real Estate,Singapore,True,Illegal,10,7,Bank_234,Luxembourg,3 or more
Switzerland,2759018.0,Cash Withdrawal,2023-01-06 06:00:00,Person_239,Oil & Gas,Brazil,False,Illegal,9,0,Bank_26,Switzerland,Less than 3
China,313189.0,Offshore Transfer,2023-01-06 07:00:00,Person_2175,Finance,Russia,False,Illegal,9,4,Bank_74,Bahamas,3 or more
India,2476295.0,Property Purchase,2023-01-06 08:00:00,Person_3364,Real Estate,USA,False,Illegal,4,9,Bank_124,Cayman Islands,3 or more
Russia,3402633.0,Property Purchase,2023-01-06 09:00:00,Person_5865,Luxury Goods,Singapore,False,Legal,1,5,Bank_232,Panama,3 or more
Singapore,3382689.0,Property Purchase,2023-01-06 10:00:00,Person_5801,Construction,Russia,True,Illegal,5,1,Bank_95,Panama,Less than 3
Singapore,3048535.0,Property Purchase,2023-01-06 11:00:00,Person_206,Arms Trade,USA,False,Illegal,3,4,Bank_495,Bahamas,3 or more
South Africa,2267349.0,Offshore Transfer,2023-01-06 12:00:00,Person_3663,Finance,China,False,Illegal,5,6,Bank_391,Panama,3 or more
Singapore,1119119.0,Property Purchase,2023-01-06 13:00:00,Person_3060,Construction,UAE,False,Illegal,2,9,Bank_442,Cayman Islands,3 or more
UAE,3446564.0,Cryptocurrency,2023-01-06 14:00:00,Person_1053,Construction,China,False,Illegal,5,5,Bank_285,Luxembourg,3 or more
China,3277809.0,Offshore Transfer,2023-01-06 15:00:00,Person_803,Casinos,China,True,Illegal,6,0,Bank_45,Singapore,Less than 3
China,2106375.0,Stocks Transfer,2023-01-06 16:00:00,Person_1488,Finance,UK,False,Legal,6,6,Bank_242,Switzerland,3 or more
China,870563.0,Stocks Transfer,2023-01-06 17:00:00,Person_5997,Construction,USA,False,Legal,8,0,Bank_148,Luxembourg,Less than 3
Singapore,4101265.0,Cash Withdrawal,2023-01-06 18:00:00,Person_7018,Luxury Goods,UAE,False,Illegal,5,6,Bank_147,Luxembourg,3 or more
UAE,359089.0,Offshore Transfer,2023-01-06 19:00:00,Person_4929,Oil & Gas,Switzerland,True,Illegal,6,6,Bank_126,Singapore,3 or more
Russia,4887537.0,Property Purchase,2023-01-06 20:00:00,Person_9163,Casinos,Russia,False,Legal,8,1,Bank_101,Cayman Islands,Less than 3
UAE,2773974.0,Stocks Transfer,2023-01-06 21:00:00,Person_4942,Real Estate,Brazil,False,Illegal,1,0,Bank_244,Panama,Less than 3
Russia,1314594.0,Stocks Transfer,2023-01-06 22:00:00,Person_2712,Real Estate,UK,False,Illegal,9,4,Bank_244,Switzerland,3 or more
South Africa,1109090.0,Cash Withdrawal,2023-01-06 23:00:00,Person_6013,Finance,UK,False,Legal,1,8,Bank_116,Switzerland,3 or more
South Africa,946206.0,Cash Withdrawal,2023-01-07 00:00:00,Person_5803,Casinos,UK,False,Illegal,4,8,Bank_57,Panama,3 or more
India,4231632.0,Cash Withdrawal,2023-01-07 01:00:00,Person_4283,Finance,UAE,False,Illegal,6,2,Bank_123,Luxembourg,Less than 3
India,1794370.0,Cash Withdrawal,2023-01-07 02:00:00,Person_3803,Construction,Switzerland,False,Illegal,5,1,Bank_276,Bahamas,Less than 3
India,2848047.0,Cash Withdrawal,2023-01-07 03:00:00,Person_5397,Finance,India,False,Illegal,6,9,Bank_13,Singapore,3 or more
UK,177312.0,Cryptocurrency,2023-01-07 04:00:00,Person_9023,Construction,Singapore,False,Illegal,7,0,Bank_82,Luxembourg,Less than 3
USA,413300.0,Cash Withdrawal,2023-01-07 05:00:00,Person_4019,Real Estate,Singapore,False,Legal,3,3,Bank_36,Singapore,3 or more
UK,1014299.0,Cryptocurrency,2023-01-07 06:00:00,Person_555,Casinos,India,False,Illegal,7,1,Bank_417,Singapore,Less than 3
UAE,3868014.0,Cash Withdrawal,2023-01-07 07:00:00,Person_9297,Construction,Singapore,False,Legal,5,2,Bank_50,Panama,Less than 3
South Africa,1462085.0,Property Purchase,2023-01-07 08:00:00,Person_3690,Real Estate,Singapore,False,Illegal,10,6,Bank_10,Singapore,3 or more
China,3257365.0,Property Purchase,2023-01-07 09:00:00,Person_1354,Real Estate,Brazil,False,Legal,7,1,Bank_297,Cayman Islands,Less than 3
China,4870071.0,Stocks Transfer,2023-01-07 10:00:00,Person_2600,Finance,South Africa,False,Illegal,10,3,Bank_80,Singapore,3 or more
Russia,3678441.0,Stocks Transfer,2023-01-07 11:00:00,Person_226,Luxury Goods,Singapore,False,Illegal,9,1,Bank_402,Cayman Islands,Less than 3
Switzerland,4629994.0,Stocks Transfer,2023-01-07 12:00:00,Person_6505,Real Estate,USA,False,Illegal,8,1,Bank_298,Cayman Islands,Less than 3
Switzerland,4390546.0,Cash Withdrawal,2023-01-07 13:00:00,Person_3320,Arms Trade,India,False,Legal,9,6,Bank_427,Panama,3 or more
USA,317658.0,Stocks Transfer,2023-01-07 14:00:00,Person_2341,Real Estate,USA,False,Illegal,9,9,Bank_252,Switzerland,3 or more
China,3202901.0,Property Purchase,2023-01-07 15:00:00,Person_5022,Arms Trade,USA,True,Illegal,6,5,Bank_496,Switzerland,3 or more
Russia,3494363.0,Property Purchase,2023-01-07 16:00:00,Person_3531,Luxury Goods,UAE,False,Legal,9,9,Bank_88,Bahamas,3 or more
Russia,246106.0,Cash Withdrawal,2023-01-07 17:00:00,Person_2686,Real Estate,South Africa,False,Illegal,4,3,Bank_323,Cayman Islands,3 or more
Switzerland,1658946.0,Property Purchase,2023-01-07 18:00:00,Person_3815,Finance,UK,True,Illegal,1,3,Bank_365,Cayman Islands,3 or more
UK,1202909.0,Offshore Transfer,2023-01-07 19:00:00,Person_881,Oil & Gas,USA,True,Illegal,5,7,Bank_216,Singapore,3 or more
China,2658981.0,Property Purchase,2023-01-07 20:00:00,Person_2334,Real Estate,Brazil,False,Legal,2,3,Bank_290,Bahamas,3 or more
Singapore,1799639.0,Offshore Transfer,2023-01-07 21:00:00,Person_6948,Oil & Gas,USA,False,Illegal,5,0,Bank_22,Luxembourg,Less than 3
Switzerland,4502528.0,Cryptocurrency,2023-01-07 22:00:00,Person_736,Oil & Gas,South Africa,False,Illegal,9,0,Bank_247,Panama,Less than 3
Switzerland,2946943.0,Cryptocurrency,2023-01-07 23:00:00,Person_7565,Arms Trade,South Africa,False,Legal,10,6,Bank_67,Luxembourg,3 or more
South Africa,4479438.0,Cash Withdrawal,2023-01-08 00:00:00,Person_4324,Oil & Gas,Russia,False,Illegal,6,0,Bank_339,Cayman Islands,Less than 3
India,3014579.0,Stocks Transfer,2023-01-08 01:00:00,Person_8641,Luxury Goods,Brazil,False,Illegal,6,9,Bank_466,Luxembourg,3 or more
China,3811306.0,Cash Withdrawal,2023-01-08 02:00:00,Person_2480,Finance,UK,False,Illegal,8,1,Bank_94,Switzerland,Less than 3
UAE,1886919.0,Cryptocurrency,2023-01-08 03:00:00,Person_2642,Arms Trade,USA,False,Legal,1,5,Bank_245,Luxembourg,3 or more
South Africa,1443374.0,Cash Withdrawal,2023-01-08 04:00:00,Person_8068,Oil & Gas,Russia,False,Illegal,4,9,Bank_23,Switzerland,3 or more
Singapore,3826209.0,Cryptocurrency,2023-01-08 05:00:00,Person_7224,Real Estate,UAE,False,Legal,7,1,Bank_326,Switzerland,Less than 3
South Africa,4488442.0,Offshore Transfer,2023-01-08 06:00:00,Person_9862,Oil & Gas,China,False,Illegal,3,9,Bank_266,Luxembourg,3 or more
India,3911812.0,Offshore Transfer,2023-01-08 07:00:00,Person_6027,Arms Trade,UAE,False,Illegal,10,4,Bank_429,Luxembourg,3 or more
UK,1132897.0,Cash Withdrawal,2023-01-08 08:00:00,Person_6,Oil & Gas,Switzerland,False,Illegal,9,7,Bank_129,Bahamas,3 or more
Brazil,1020318.0,Property Purchase,2023-01-08 09:00:00,Person_9606,Casinos,UAE,False,Legal,3,5,Bank_59,Panama,3 or more
UK,1691264.0,Cash Withdrawal,2023-01-08 10:00:00,Person_4131,Oil & Gas,Brazil,True,Illegal,3,3,Bank_19,Panama,3 or more
UAE,1319823.0,Cash Withdrawal,2023-01-08 11:00:00,Person_7143,Finance,USA,False,Illegal,7,7,Bank_66,Singapore,3 or more
India,3302535.0,Offshore Transfer,2023-01-08 12:00:00,Person_6582,Oil & Gas,USA,False,Legal,9,2,Bank_379,Singapore,Less than 3
China,3622447.0,Property Purchase,2023-01-08 13:00:00,Person_9659,Construction,China,False,Illegal,10,6,Bank_130,Switzerland,3 or more
India,3769235.0,Property Purchase,2023-01-08 14:00:00,Person_9923,Finance,Brazil,True,Illegal,10,9,Bank_210,Switzerland,3 or more
